hotel_id,destination_id,surroundings
167704,110095,1
167705,13994,1
167706,101309,1
167708,42010,1
167709,124003,1
167711,110801,1
167712,101884,1
167713,3024,1
167713,7687,1
167713,101883,1
167714,101649,1
167715,42941,1
167716,45309,0
167717,550,1
167718,100606,1
167721,123801,1
167722,101661,1
167723,24751,1
167724,139989,1
167726,91965,1
167726,326807,1
167727,143394,1
167728,117301,1
167730,125287,1
167731,111391,1
167732,151434,1
167733,38767,1
167734,44900,1
167735,5386,0
167735,118164,1
167736,101844,1
167737,140928,1
167738,36761,1
167738,153587,1
167739,39630,1
167740,118715,1
167742,38767,1
167743,38103,1
167744,126841,1
167745,38422,1
167745,416144,0
167746,2743,1
167747,4039,1
167748,4237,1
167749,140821,1
167750,5112,1
167751,13726,1
167751,30280,0
167751,81233,1
167752,37668,1
167753,141005,1
167754,37351,1
167755,5208,1
167756,143051,1
167757,16462,1
167757,107520,1
167757,274089,1
167758,95656,1
167759,101037,1
167761,95701,1
167762,3802,1
167762,25860,1
167762,70638,1
167764,5445,1
167765,38608,1
167766,80731,1
167767,38996,1
167768,23459,1
167768,108556,1
167769,3802,1
167770,80805,1
167771,123086,1
167772,1779,1
167773,37463,1
167774,2043,1
167774,106173,1
167775,98286,1
167776,143470,1
167777,75616,1
167778,38123,1
167779,145067,1
167779,416144,0
167780,5910,1
167781,94498,1
167782,20495,1
167784,36617,1
167784,82203,1
167784,159039,1
167785,101412,1
167786,144205,1
167787,140222,1
167788,98698,1
167790,113656,1
167791,7591,1
167791,107143,1
167792,137811,1
167794,43276,1
167796,108208,1
167797,124355,1
167798,23711,1
167800,17619,1
167801,38756,1
167802,95708,1
167803,38104,1
167805,140642,1
167805,416144,0
167806,126279,1
167807,108766,1
167810,128920,1
167811,140661,1
167812,41933,1
167813,140509,1
167814,42562,1
167815,3361,1
167816,101881,1
167817,140974,1
167818,101011,1
167819,128237,1
167820,119048,1
167821,30280,0
167821,126957,1
167822,109418,1
167823,143490,1
167824,140022,1
167825,4237,1
167826,20987,1
167827,113516,1
167828,38951,1
167829,2119,1
167829,37812,1
167829,126813,1
167829,188629,1
167830,38426,1
167832,13722,1
167833,13722,1
167834,100414,1
167835,6986,1
167835,101857,1
167836,676,1
167836,100555,1
167837,13722,1
167839,6986,1
167839,100622,1
167841,104326,1
167842,106315,1
167844,98189,1
167847,37304,1
167848,4888,1
167849,101825,1
167849,130685,1
167850,100512,1
167850,100524,1
167851,110070,1
167852,143466,1
167854,113815,1
167854,139339,1
167855,69795,1
167857,143486,1
167858,19548,1
167859,144388,1
167860,38651,1
167860,362980,1
167861,5152,1
167861,99172,1
167861,269795,1
167862,124495,1
167863,144308,1
167864,109922,1
167865,99540,1
167866,123903,1
167868,3109,1
167870,6725,1
167871,118168,1
167873,5173,1
167873,101283,1
167873,101301,1
167873,365313,1
167874,23514,1
167875,100587,1
167876,100925,1
167878,79917,1
167878,416144,0
167881,4137,1
167882,36650,1
167883,101565,1
167884,19515,1
167885,1113,1
167886,1210,1
167887,98059,1
167888,133360,1
167889,13722,1
167890,20592,1
167891,6872,1
167891,36839,1
167892,98289,1
167895,93006,1
167896,13722,1
167898,2361,1
167898,102224,1
167899,3240,1
167900,17619,1
167903,127328,1
167906,6986,1
167907,98706,1
167908,101329,1
167909,14631,1
167909,140956,1
167909,416144,0
167910,144070,1
167911,15536,1
167912,37311,1
167913,3794,1
167914,118951,1
167915,39484,1
167918,20718,1
167919,38995,1
167919,416144,0
167920,7870,1
167921,12797,1
167922,38608,1
167923,143794,1
167925,45732,1
167926,111132,1
167928,145264,1
167929,122304,1
167929,416144,0
167930,98000,1
167931,110812,1
167933,3090,1
167934,144280,1
167935,118144,1
167936,140628,1
167937,37913,1
167939,92998,1
167940,104105,1
167942,90910,1
167943,2213,1
167944,143789,1
167945,22025,1
167945,278248,1
167946,127292,1
167947,25984,1
167948,20592,1
167949,37733,1
167950,143717,1
167951,21444,1
167952,17187,1
167953,143717,1
167954,14128,1
167955,113542,1
167956,125613,1
167957,94580,1
167957,348719,1
167958,96292,1
167959,124872,1
167960,37783,1
167961,99403,1
167962,1113,1
167963,97076,1
167964,97015,1
167968,98935,1
167968,283606,1
167969,92994,1
167969,282027,1
167969,364179,1
167970,92997,1
167970,282027,1
167971,6833,1
167971,129058,1
167972,153662,1
167975,96283,1
167976,100020,1
167977,145265,1
167978,98220,1
167979,72631,1
167980,100412,1
167981,101044,1
167982,100410,1
167983,80522,1
167984,19370,1
167985,4580,1
167986,105312,1
167987,20660,1
167989,123862,1
167990,14631,1
167991,101046,1
167992,783,0
167992,103901,1
167992,416700,0
167993,6839,1
167993,129059,1
167994,98292,1
167995,100355,1
167996,89871,1
167997,20718,1
167998,101290,1
167999,125613,1
168000,4426,1
168001,96759,1
168002,15536,1
168003,121342,1
168004,108486,1
168005,140502,1
168005,416144,0
168006,36780,1
168007,94003,1
168008,101846,1
168009,140675,1
168010,125140,1
168011,24837,1
168012,1393,1
168013,14870,1
168014,105286,1
168015,140907,1
168016,102173,1
168017,39066,1
168018,1218,1
168018,97026,1
168020,75239,1
168020,100021,1
168020,302124,1
168021,87184,1
168022,100899,1
168023,50641,1
168024,100496,1
168025,7231,1
168025,104349,1
168025,107214,1
168025,345667,1
168026,870,1
168026,105617,1
168028,2034,1
168028,102011,1
168029,6344,1
168029,101126,1
168029,290213,1
168030,113514,1
168032,94416,1
168033,100108,1
168034,98700,1
168035,6810,1
168037,100355,1
168040,89635,1
168041,114521,1
168042,265,1
168042,6148,1
168042,106590,1
168042,316370,1
168043,126590,1
168046,100519,1
168047,3363,1
168047,281852,1
168047,303609,1
168048,4058,1
168048,142678,1
168050,20729,1
168052,99003,1
168053,101357,1
168054,101509,1
168055,6810,1
168056,100570,1
168057,20660,1
168058,142436,1
168058,328397,1
